Model,MSO64B
Channel,CH1,,Channel,CH2,,Channel,REF1,,Channel,REF2
Label,,,Label,,,Label,CH1,,Label,CH2
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,8.00000000e-10,,Sample Interval,8.00000000e-10,,Sample Interval,8.00000000e-10,,Sample Interval,8.00000000e-10
Record Length,5000,,Record Length,5000,,Record Length,5000,,Record Length,5000
Zero Index,349.10156250,,Zero Index,349.10156250,,Zero Index,349.11328125,,Zero Index,349.11328125
Vertical Units,V,,Vertical Units,V,,Vertical Units,V,,Vertical Units,V
,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000
yPosition,2.160000,,yPosition,2.180000,,yPosition,2.160000,,yPosition,2.180000

Labels,,,,Labels,CH1,,Labels,CH2
TIME,CH1,CH2,,TIME,REF1,,TIME,REF2
-2.36881250e-07,4.68750000e-03,1.30468750e-02,,-2.36890625e-07,1.24999997e-03,,-2.36890625e-07,1.97656248e-02
-2.36081250e-07,-1.87500000e-04,5.39062500e-03,,-2.36090625e-07,9.90625005e-03,,-2.36090625e-07,1.04687503e-02
-2.35281250e-07,8.96875000e-03,1.00000000e-02,,-2.35290625e-07,4.81249997e-03,,-2.35290625e-07,1.25781251e-02
-2.34481250e-07,4.31250000e-03,7.81250000e-05,,-2.34490625e-07,5.37500018e-03,,-2.34490625e-07,6.56249980e-03
-2.33681250e-07,6.43750000e-03,7.73437500e-03,,-2.33690625e-07,3.31249996e-03,,-2.33690625e-07,1.66406259e-02
-2.32881250e-07,4.93750000e-03,1.34375000e-02,,-2.32890625e-07,1.02500003e-02,,-2.32890625e-07,2.42187502e-03
-2.32081250e-07,5.59375000e-03,7.26562500e-03,,-2.32090625e-07,3.81250004e-03,,-2.32090625e-07,1.02343746e-02
-2.31281250e-07,9.53125000e-03,1.15625000e-02,,-2.31290625e-07,9.06249974e-03,,-2.31290625e-07,9.14062466e-03
-2.30481250e-07,1.33750000e-02,1.58593750e-02,,-2.30490625e-07,8.65625031e-03,,-2.30490625e-07,-1.17187505e-03
-2.29681250e-07,3.43750000e-04,9.92187500e-03,,-2.29690625e-07,1.05625000e-02,,-2.29690625e-07,1.16406251e-02
